Job Title,Company Name,Salary,Location,Job Description
Software Engineer (Leadership) - Infrastructure,Meta,Competitive,London,"Facebook is seeking an experienced Software Engineer to join the Software Engineering (Infrastructure) team. The Software Engineering (Infrastructure) team builds large distributed components that run Facebook. Our code serves millions of requests per second and it does so with sub-second latency and in a fault-tolerant manner. We handle everything from Facebook scale data storage, to synchronization and coordination of large server clusters, to providing a runtime environment for front end Facebook code. We are looking for candidates who share a passion for tackling complexity and building platforms that can scale through multiple orders of magnitude. * Drive the team's goals and technical direction to pursue opportunities that make your larger organization more efficient * Effectively communicate complex features and systems in detail"
Software Engineer (Leadership) - Managed accounts platform,Meta,Competitive,London,"The Managed accounts platform enables professionals and organizations to access and work with the Meta ecosystem. It provides an organizationally managed trusted identity, protected by enterprise-grade security, privacy and integrity protections. The platform enables product use cases ranging from major advertisers running ad campaigns on Facebook, Instagram, etc through to businesses collaborating and working together in mixed reality and the metaverse, all with a focus on enterprise-grade reliability. We are seeking an experienced Software Engineer to join our leadership team driving the platform as we scale up. Want to solve unique, large scale, highly complex technical problems? Join us! * Architect and help build a platform which serves the needs of multiple product use-cases"
"Software Engineer, Product",Meta,Competitive,London,"We are the teams who create all of Meta's products used by billions of people around the world. Want to build new features and improve existing products like Messenger, Video, Groups, News Feed, Search and more? Want to solve unique, large scale, highly complex technical problems? Meta is seeking experienced full-stack Software Engineers to join our product teams. You can help build products that help us connect the next billion people, create new features that have billions of interactions per day and be a part of a team thats working to help people connect with each other around the globe. Join us! * Full stack web/mobile application development with a variety of coding languages * Create consumer products and features using internal programming language Hack * Implement web or mobile interfaces using XHTML, CSS, and JavaScript"
"Software Engineer, Infrastructure",Meta,Competitive,London,"We are the teams who create all of Meta's products used by billions of people around the world. Want to build new features and improve existing products like Ads, Video, Groups, News Feed, Search and more? Want to solve unique, large scale, highly complex technical problems? Meta is seeking experienced Software Engineers to join our teams. You can help build products that help us connect the next billion people, create new features that have billions of interactions per day and be a part of a team thats working to help people connect with each other around the globe. Join us! * Lead complex technical efforts across many engineers * Design core, backend software components * Code using primarily C/C++, Java, PHP and Hack * Interface with other teams to incorporate their innovations and vice versa * Conduct design and code reviews"
Software Engineer (Leadership) - Machine Learning,Meta,Competitive,London,"Facebook is seeking Machine Learning Engineers to join our engineering team. The ideal candidate will have industry experience working on a range of classification and optimization problems like payment fraud, click-through rate prediction, click-fraud detection, search ranking, text/sentiment classification, collaborative filtering/recommendation, or spam detection. The position will involve taking these skills and applying them to some of the most exciting and massive social data and prediction problems that exist on the web. * Drive the team's goals and technical direction to pursue opportunities that make your larger organization more efficient * Effectively communicate complex features and systems in detail * Understand industry & company-wide trends to help assess & develop new technologies"
Software Engineer (Leadership) - Product,Meta,Competitive,London,"We are the teams who create all of Metas products used by 3 billion+ people around the world. Do you want to build new features and improve existing products like Commerce, Ads, Video, Groups, News Feed, Search, and more? Want to solve unique, large scale, highly complex technical problems? Meta is seeking experienced full-stack software engineers to join our product teams. You can help build the next generation of products create new features with billions of interactions per day, and be a part of a team thats working to help people connect around the globe. Join us! * Drive the team's goals and technical direction to pursue opportunities that make your larger organization more efficient * Effectively communicate complex features and systems in detail * Understand industry & company-wide trends to help assess & develop new technologies"
Software Engineer (Leadership) - Product,Meta,Competitive,London,"We are the teams who create all of Facebooks product used by 1.5 billion+ people around the world. Want to build new features and improve existing products like Commerce, Ads, Video, Groups, News Feed, Search, and more? Want to solve unique, large scale, highly complex technical problems? Facebook is seeking experienced full-stack software engineers to join our product teams. You can help build the next generation of products that help us connect the next billion people, create new features that have billions of interactions per day, and be a part of a team thats working to help people connect around the globe. Join us! * Drive the team's goals and technical direction to pursue opportunities that make your larger organization more efficient * Effectively communicate complex features and systems in detail"
"Software Engineer, Machine Learning",Meta,Competitive,London,"Meta is embarking on the most transformative change to its business and technology in company history, and our Machine Learning Engineers are at the forefront of this evolution. By leading crucial projects and initiatives that have never been done before, you have an opportunity to help us advance the way people connect around the world. The ideal candidate will have industry experience working on a range of recommendation, classification, and optimisation problems. You will bring the ability to own the whole ML life cycle, define projects and drive excellence across teams. You will work alongside the worlds leading engineers and researchers to solve some of the most exciting and massive social data and prediction problems that exist on the web. * Leading projects or small teams of people to help them unblock, advocating for ML excellence"
"Software Engineer, Gameplay - Reality Labs",Meta,Competitive,London,"Reality Labs at Meta is building products that make it easier for people to connect with the ones they love most, enjoy top-notch, wire-free VR, and push the future of computing platforms. We are a team of world-class experts developing and shipping products at the intersection of hardware, software and content. As a Gameplay Engineer on the Reality Labs team at Meta, you can help build new, innovative hardware and software that radically redefine the way people work, play and connect. What we build today could one day be the norm. So to be here today is to truly be at the heart of change and the frontier of what's to come. We're the people helping to define the metaverse. We may not have all the answers. But together, we're getting closer. * Design and deliver interactive features for in-VR social presence"
Software Engineer - Technical Leadership,Meta,Competitive,London,"Cross-Meta Integrity (XI) is a mission-driven organization helping keep users and businesses safe online across the Meta family of apps. Integrity Foundations builds scaled infrastructure, platforms, experiences, and tooling to keep our products safe and delightful for everyone, protect voice and economic opportunity, and do so in an efficient, agile, scalable fashion. This is a highly strategic hands-on role that has a direct impact on Metas topline and bottomline. We are seeking an experienced systems engineer to join our team in a fast paced and complex space. The ideal candidate will possess exceptional collaborative skills is obsessed with reliability at scale and have the ability to establish lasting partnerships to create significant business impact in the Integrity space and beyond."
"Software Engineer, Metaverse Engine Technology - Animations",Meta,Competitive,London,"Reality Labs at Meta is building products that make it easier for people to connect with the ones they love most, enjoy top-notch, wire-free VR, and push the future of computing platforms. We are a team of world-class experts developing and shipping products at the intersection of hardware, software and content. As a Software Engineer on the Reality Labs team at Meta, you can help push the boundaries of how people represent themselves and work, play and connect. Connecting with others is at the heart of the metaverse, and we're the people helping to define what that means. The ideal candidate is a software engineer with experience in VR, physics-based simulation, visualisation or a creative industry expert (e.g. Video Games, Film VFX). You will bring together innovative design with new technologies (related to 3D applications and games)."
"Software Engineer, Machine Learning",Meta,Competitive,London,"Meta is embarking on the most transformative change to its business and technology in company history, and our Machine Learning Engineers are at the forefront of this evolution. By leading crucial projects and initiatives that have never been done before, you have an opportunity to help us advance the way people connect around the world. The ideal candidate will have industry experience working on a range of recommendation, classification, and optimization problems. You will bring the ability to own the whole ML life cycle, define projects and drive excellence across teams. You will work alongside the worlds leading engineers and researchers to solve some of the most exciting and massive social data and prediction problems that exist on the web."
Software Engineer (Python / Next.js),Oho Group,£40000 - £55000 per annum,"North London, London, N1 9AL","Software Engineer - London - Join an AI-Powered Innovator ?? Permanent + Hybrid + Tech for Good?? Are you a junior-mid level Software Engineer that's ready to develop the future of education? This is your chance to join a cutting-edge AI start-up that's dedicated to transforming the lives of millions of students worldwide! The two co-founders come from strong backgrounds and have a vision to empower the way students learn. As a Software Engineer in their engineering team, you will help build scalable, user-centric solutions and drive all stages of software development - from design to deployment. This is a unique opportunity to work directly with the founders and build software applications that leverages AI to make education more accessible and engaging than ever before!"
